"","Date","Governorate","Target","facility_type"
"1","26/03/2015","Lahj","Al-Daylami Airbase","Military Site"
"2","26/03/2015","Lahj","Sana'a International Airport","Transport"
"3","26/03/2015","Lahj","Residential Area","Residential Area"
"4","26/03/2015","Lahj","Presidential Palace","Military Site"
"5","26/03/2015","Lahj","Former 1st Armoured Division","Military Site"
"6","26/03/2015","Lahj","Raymah Humaid Military Camp","Military Site"
"7","26/03/2015","Lahj","Al-Sawad Military Camp","Military Site"
"8","26/03/2015","Lahj","Special Forces Military Camp","Military Site"
"9","26/03/2015","Lahj","Al-Sama'a Military Camp","Military Site"
"10","26/03/2015","Lahj","Al-Sawad Military Camp","Military Site"
"11","26/03/2015","Lahj","Raymah Humaid Military Camp","Military Site"
"12","26/03/2015","Lahj","Al-Farijah Military Camp","Military Site"
"13","26/03/2015","Lahj","Al-Sama'a Military Camp","Military Site"
"14","26/03/2015","Lahj","Al-Estiqbal Military Camp","Military Site"
"15","26/03/2015","Lahj","Special Forces Military Camp","Military Site"
"16","26/03/2015","Lahj","Raymah Humaid Military Camp","Military Site"
"17","26/03/2015","Sa'ada","33rd Armoured Brigade ","Military Site"
"18","26/03/2015","Sa'ada","Al-Sadrayn Military Camp","Military Site"
"19","26/03/2015","Al Hudaydah","Haqqah School","School"
"20","26/03/2015","Al Hudaydah","-","Unknown"
"21","26/03/2015","Al Bayda","Al-Anad Airbase","Military Site"
"22","26/03/2015","Al Bayda","Al-Anad Airbase","Military Site"
"23","26/03/2015","Al Mahwit","House","Figure"
"24","26/03/2015","Al Mahwit","Missiles Brigade Camp","Weapon storage"
"25","26/03/2015","Al Mahwit","-","Unknown"
"26","26/03/2015","Al Mahwit","Sa'ada Airport","Transport"
"27","26/03/2015","Al Mahwit","-","Unknown"
"28","26/03/2015","Al Mahwit","-","Unknown"
"29","26/03/2015","Al Mahwit","Badw Tents","Residential Area"
"30","26/03/2015","Al Mahwit","Mountain","Unknown"
"31","26/03/2015","Lahj","SSF Camp","Military Site"
"32","26/03/2015","Lahj","Taiz Airport","Transport"
"33","26/03/2015","Lahj","Tariq Air Base","Military Site"
"34","27/03/2015","Lahj","Al-Daylami Airbase","Military Site"
"35","27/03/2015","Lahj","Former 1st Armoured Division","Military Site"
"36","27/03/2015","Lahj","Presidential Palace","Military Site"
"37","27/03/2015","Lahj","Aviation college","Military Site"
"38","27/03/2015","Lahj","Sana'a International Airport","Transport"
"39","27/03/2015","Lahj","Aviation college","Military Site"
"40","27/03/2015","Lahj","Presidential Palace","Military Site"
"41","27/03/2015","Lahj","Missiles Brigade Camp","Military Site"
"42","27/03/2015","Lahj","Special Forces Military Camp","Military Site"
"43","27/03/2015","Lahj","Al-Khorafi Hill","Military Site"
"44","27/03/2015","Lahj","Al-Sawad Military Camp","Military Site"
"45","27/03/2015","Lahj","Radars Centre","Military Site"
"46","27/03/2015","Lahj","Al-Sama'a Military Camp","Military Site"
"47","27/03/2015","Lahj","Raymah Humaid Military Camp","Military Site"
"48","27/03/2015","Lahj","Missiles Brigade Camp","Military Site"
"49","27/03/2015","Lahj","Special Forces Military Camp","Military Site"
"50","27/03/2015","Lahj","Al-Sawad Military Camp","Military Site"
"51","27/03/2015","Lahj","Al-Sama'a Military Camp","Military Site"
"52","27/03/2015","Lahj","48 hospital","Hospital"
"53","27/03/2015","Sana'a","Military Convoy","Moving Target (weapons/fighters)"
"54","27/03/2015","Sa'ada","Aboud Military Camp","Military Site"
"55","27/03/2015","Sa'ada","Al-Jarba'a Military Camp","Military Site"
"56","27/03/2015","Sa'ada","Al-Sadrayn Military Camp","Military Site"
"57","27/03/2015","Marib","Air Defence Military Camp","Military Site"
"58","27/03/2015","Marib","Al-Salif port","Transport"
"59","27/03/2015","Ibb","49 Air Defence Battalion","Military Site"
"60","27/03/2015","Ibb","Mas Military Camp","Military Site"
"61","27/03/2015","Ibb","Air Defence Military Site located near the Safer Oil Facility","Military Site"
"62","27/03/2015","Al Mahwit","-","Unknown"
"63","27/03/2015","Al Mahwit","131st Infantry Brigade","Military Site"
"64","27/03/2015","Al Mahwit","Residential Area","Market place"
"65","27/03/2015","Al Mahwit","-","Unknown"
"66","27/03/2015","Al Mahwit","-","Unknown"
"67","27/03/2015","Al Mahwit","Civilian's house","Residential Area"
"68","28/03/2015","Lahj","Weapons Stores","Weapon storage"
"69","28/03/2015","Lahj","House","Figure"
"70","28/03/2015","Lahj","Al-Daylami Airbase","Military Site"
"71","28/03/2015","Lahj","Aviation college","Military Site"
"72","28/03/2015","Lahj","Former 1st Armoured Division","Military Site"
"73","28/03/2015","Lahj","Al-Daylami Airbase","Military Site"
"74","28/03/2015","Lahj","Al-Nahdain Military Camp","Military Site"
"75","28/03/2015","Lahj","Missiles Brigade Camp","Military Site"
"76","28/03/2015","Lahj","Missiles Brigade Camp","Military Site"
"77","28/03/2015","Lahj","Al-Sawad Military Camp","Military Site"
"78","28/03/2015","Lahj","Al-Sama'a Military Camp","Military Site"
"79","28/03/2015","Sana'a","115th Infantry Brigade","Military Site"
"80","28/03/2015","Sana'a","Pro-Houthi forces","Forces"
"81","28/03/2015","Al Dhale'e","Al-Qashlah Military Camp","Military Site"
"82","28/03/2015","Taizz","Samah Mlitary Camp","Military Site"
"83","28/03/2015","Al Hudaydah","25th Mechanized Infantry Brigade","Military Site"
"84","28/03/2015","Marib","Al-Hudaydah Airport","Transport"
"85","28/03/2015","Marib","Military Airport, Air Defence forces, Radars","Military Site"
"86","28/03/2015","Marib","Residential Area","Residential Area"
"87","28/03/2015","Marib","Coastal defense military camp","Military Site"
"88","28/03/2015","Dhamar","House","Figure"
"89","28/03/2015","Ibb","180th Air Defence Military Camp Radars","Military Site"
"90","28/03/2015","Ibb","14th Armoured Brigade","Military Site"
"91","28/03/2015","Al Mahwit","Al-Saifi Military Camp","Military Site"
"92","28/03/2015","Al Mahwit","School ","School"
"93","28/03/2015","Al Mahwit","Electricity station","Water & Electricity"
"94","28/03/2015","Al Mahwit","Central jail ","Military Site"
"95","28/03/2015","Al Mahwit","Yemeni Gas Company","Gov. compounds"
"96","28/03/2015","Al Mahwit","105th Infantry Brigade (Al-Kamb Military Camp)","Military Site"
"97","28/03/2015","Al Mahwit","Al-Saifi Military Camp","Military Site"
"98","28/03/2015","Al Mahwit","-","Unknown"
"99","28/03/2015","Al Mahwit","Kahlan Military Camp","Military Site"
"100","28/03/2015","Al Mahwit","1st Artillery Brigade","Military Site"
"101","29/03/2015","Lahj","Al-Daylami Airbase","Military Site"
"102","29/03/2015","Lahj","Sana'a International Airport","Transport"
"103","29/03/2015","Lahj","Former 1st Armoured Division","Military Site"
"104","29/03/2015","Lahj","Al-Daylami Airbase","Military Site"
"105","29/03/2015","Lahj","Presidential Palace","Military Site"
"106","29/03/2015","Lahj","Presidential Palace","Military Site"
"107","29/03/2015","Lahj","Al-Nahdain Military Camp","Military Site"
"108","29/03/2015","Lahj","Al-Sawad Military Camp","Military Site"
"109","29/03/2015","Lahj","Missiles Brigade Camp","Military Site"
"110","29/03/2015","Lahj","Al-Khorafi Military Camp","Military Site"
"111","29/03/2015","Hajjah","Pro-Houthi forces","Forces"
"112","29/03/2015","Taizz","Pro-Houthi forces training camps","Military Site"
"113","29/03/2015","Marib","Air Defence Military Camp","Military Site"
"114","29/03/2015","Marib","Air Defence Battalion","Military Site"
"115","29/03/2015","Marib","Naval Collage","Military Site"
"116","29/03/2015","Marib","Radar station","Military Site"
"117","29/03/2015","Marib","Air Defence Military Camp","Military Site"
"118","29/03/2015","Dhamar","Telecommunications Towers","Communication"
"119","29/03/2015","Ibb","Military Sites","Military Site"
"120","29/03/2015","Ibb","Detecting Radars","Military Site"
"121","29/03/2015","Ibb","Air Defence Battalion","Military Site"
"122","29/03/2015","Al Mahwit","-","Residential Area"
"123","29/03/2015","Al Mahwit","Pro-Houthi forces","Forces"
"124","29/03/2015","Al Mahwit","Pro-Houthi forces","Forces"
"125","29/03/2015","Al Mahwit","-","Residential Area"
"126","29/03/2015","Al Mahwit","Sa'ada Airport","Transport"
"127","29/03/2015","Al Mahwit","Cultural Centre","Gov. Compounds"
"128","29/03/2015","Al Mahwit","Al-Ibbi House","Residential Area"
"129","29/03/2015","Al Mahwit","-","Unknown"
"130","29/03/2015","Hadramaut","Pro-Houthi forces","Forces"
"131","29/03/2015","Lahj","Al-Arous Military Camp","Military Site"
"132","29/03/2015","Lahj","Air Defence Military Sites","Military Site"
"133","30/03/2015","Lahj","Al-Daylami Airbase","Military Site"
"134","30/03/2015","Lahj","Presidential Palace","Military Site"
"135","30/03/2015","Lahj","Military Supplies Camp","Military Site"
"136","30/03/2015","Lahj","YEC Storage units","Food (Storage/transportation)"
"137","30/03/2015","Lahj","Special Forces Military Camp","Military Site"
"138","30/03/2015","Lahj","Al-Jamimah Military Camp","Military Site"
"139","30/03/2015","Lahj","Missiles Brigade Camp","Military Site"
"140","30/03/2015","Lahj","Air Defence Batteries","Military Site"
"141","30/03/2015","Lahj","Al-Khorafi Military Camp","Military Site"
"142","30/03/2015","Lahj","Missiles Brigade Camp","Military Site"
"143","30/03/2015","Sana'a","Pro-Houthi reinforcement","Moving Target (weapons/fighters)"
"144","30/03/2015","Sana'a","15th Infantry Brigade","Military Site"
"145","30/03/2015","Sana'a","Civilians Gathering","Social gathering"
"146","30/03/2015","Sana'a","Pro-Houthi reinforcement","Moving Target (weapons/fighters)"
"147","30/03/2015","Sana'a","Bus (with civilians onboard)","Vehicle/buss"
"148","30/03/2015","Sana'a","Aden Airport","Transport"
"149","30/03/2015","Sana'a","Residential Area","Residential Area"
"150","30/03/2015","Sana'a","39th Armoured Brigade","Military Site"
"151","30/03/2015","Sana'a","Aden Port","Transport"
"152","30/03/2015","Al Hudaydah","IDPs Camp","Residential Area"
"153","30/03/2015","Amran","4 Houses","Residential Area"
"154","30/03/2015","Amran","2 Gas stations","Oil & Gas"
"155","30/03/2015","Al Bayda","Pro-Houthi forces","Forces"
"156","30/03/2015","Al Bayda","Al-Wataniyah Cement Factory","Factory"
"157","30/03/2015","Hadramaut","Anti-Houthi Groups","Forces"
"158","30/03/2015","Al Mahwit","Ressidentia Area","Residential Area"
"159","30/03/2015","Al Mahwit","Local Airport","Transport"
"160","30/03/2015","Al Mahwit","Electricity Station","Water & Electricity"
"161","30/03/2015","Al Mahwit","-","Unknown"
"162","30/03/2015","Lahj","Air Defence Military Sites","Military Site"
"163","30/03/2015","Lahj","Tariq Air Base","Military Site"
"164","30/03/2015","Lahj","Taiz Airport","Transport"
"165","30/03/2015","Lahj","Pro-Houthi forces","Forces"
"166","31/03/2015","Lahj","Sana'a International Airport","Transport"
"167","31/03/2015","Lahj","Al-Daylami Airbase","Military Site"
"168","31/03/2015","Lahj","Former 1st Armoured Division","Military Site"
"169","31/03/2015","Lahj","3rd Armoured Presidential Guards","Military Site"
"170","31/03/2015","Lahj","Al-Hafa Military Camp","Military Site"
"171","31/03/2015","Lahj","Weapons Stores","Weapon storage"
"172","31/03/2015","Lahj","Al-Sama'a Military Camp","Military Site"
"173","31/03/2015","Lahj","Al-Sawad Military Camp","Military Site"
"174","31/03/2015","Sa'ada","33rd Armoured Brigade ","Military Site"
"175","31/03/2015","Sa'ada","Al-Jarba'a Military Camp","Military Site"
"176","31/03/2015","Sa'ada","Al-Jarba'a Military Camp","Military Site"
"177","31/03/2015","Al Hudaydah","2nd Border Guards Brigade","Military Site"
"178","31/03/2015","Al Hudaydah","DHL Mails Bus","Transport"
"179","31/03/2015","Al Hudaydah","Harad Customs","Gov. compounds"
"180","31/03/2015","Al Hudaydah","Al-Twal Crossing-Border","Transport"
"181","31/03/2015","Al Hudaydah","Midi Port","Transport"
"182","31/03/2015","Marib","Al-Hudaydah Airport","Military Site"
"183","31/03/2015","Marib","Al-Ahliyah oil and packaging materials company","Private factory"
"184","31/03/2015","Marib","Al-Tadhamomiyah soft drinks company","Private factory"
"185","31/03/2015","Marib","Yamani Dairy Factory","Private factory"
"186","31/03/2015","Marib","Dar Al-Dhyafah","Unknown"
"187","31/03/2015","Marib","Coastal defense military camp","Military Site"
"188","31/03/2015","Marib","The Traffiq Police","Military Site"
"189","31/03/2015","Amran","Thawabah and Al-Qadiri Fuel Stations and Two Oil Trucks","Oil & Gas"
"190","31/03/2015","Amran","Al-Dhawrain Checkpoint","Checkpoints"
"191","31/03/2015","Amran","55th  Artillery Brigade","Military Site"
"192","31/03/2015","Ibb","Missiles Battalion","Military Site"
"193","31/03/2015","Ibb","Military forces (Protection Oil pipeline)","Military Site"
"194","31/03/2015","Al Mahwit","131st Infantry Brigade","Military Site"
"195","31/03/2015","Al Mahwit","Governmental Compound","Gov. compounds"
"196","31/03/2015","Al Mahwit","Security HQ","Military Site"
"197","31/03/2015","Al Mahwit","Pro-Houthi forces","Forces"
"198","31/03/2015","Al Mahwit","Pro-Houthi forces","Forces"
"199","31/03/2015","Al Mahwit","-","Unknown"
"200","31/03/2015","Al Mahwit","-","Unknown"
"201","31/03/2015","Hadramaut","Pro-Houthi forces","Forces"
"202","31/03/2015","Lahj","Air Defence Military Sites","Military Site"
"203","01/04/2015","Lahj","Al-Sha'ab Stadium","Sport Facility"
"204","01/04/2015","Lahj","Military Site","Military Site"
"205","01/04/2015","Lahj","Military Maintenance Camp ","Military Site"
"206","01/04/2015","Lahj","Al-Daylami Airbase","Military Site"
"207","01/04/2015","Lahj","Residential Area","Residential Area"
"208","01/04/2015","Lahj","Former 1st Armoured Division","Military Site"
"209","01/04/2015","Lahj","Presidential Palace","Military Site"
"210","01/04/2015","Lahj","Missiles Brigade Camp","Military Site"
"211","01/04/2015","Lahj","-","Military Site"
"212","01/04/2015","Lahj","Al-Sawad Military Camp","Military Site"
"213","01/04/2015","Lahj","YEC Food Storage Units","Food (storage/transportation)"
"214","01/04/2015","Lahj","Al-Khorafi Military Camp","Military Site"
"215","01/04/2015","Sana'a","Aden Airport","Transport"
"216","01/04/2015","Sana'a","Pro-Houthi forces","Forces"
"217","01/04/2015","Sana'a","Governmental Compound","Gov. compounds"
"218","01/04/2015","Sana'a","Building (Reportedly used by pro-Houthi forces)","Unknown"
"219","01/04/2015","Al Hudaydah","IDPs Camp","Residential Area"
"220","01/04/2015","Marib","Air Forces Base(67th aviation Brigade weapons stores)","Military Site"
"221","01/04/2015","Marib","Coastal defense military camp","Military Site"
"222","01/04/2015","Amran","55th  Artillery Brigade","Military Site"
"223","01/04/2015","Al Bayda","5th Missiles Brigade","Military Site"
"224","01/04/2015","Al Mahwit","125th Infantry Brigade Military Sites","Military Site"
"225","01/04/2015","Al Mahwit","-","Residential Area"
"226","01/04/2015","Al Mahwit","9th Mechanized Infantry Brigade","Military Site"
"227","01/04/2015","Al Mahwit","Sa'ada Military HQ ","Military Site"
"228","01/04/2015","Al Mahwit","Al-Majazain Cemenetry","Unknown"
"229","01/04/2015","Al Mahwit","Republican Guards Military Camp","Military Site"
"230","01/04/2015","Al Mahwit","Military Police Camp","Military Site"
"231","01/04/2015","Al Mahwit","-","Unknown"
"232","01/04/2015","Al Mahwit","Sa'ada Airport","Transport"
"233","01/04/2015","Al Mahwit","Al-Saifi Military Camp","Military Site"
"234","02/04/2015","Lahj","Presidential Palace","Military Site"
"235","02/04/2015","Lahj","Special Forces Military Camp","Military Site"
"236","02/04/2015","Lahj","Missiles Brigade Camp","Military Site"
"237","02/04/2015","Lahj","Al-Sawad Military Camp","Military Site"
"238","02/04/2015","Sana'a","SSF Camp","Military Site"
"239","02/04/2015","Sana'a","Aden Airport","Transport"
"240","02/04/2015","Marib","Al-Jabbanah Military Camp","Transport"
"241","02/04/2015","Al Hudaydah","25th Mechanized Infantry Brigade","Military Site"
"242","02/04/2015","Ibb","Air Defence Military Sites (assigned to protect Oil facility)","Military Site"
"243","02/04/2015","Al Mahwit","-","Residential Area"
"244","02/04/2015","Al Mahwit","Sa'ada Airport","Transport"
"245","02/04/2015","Lahj","Pro-Houthi forces","Forces"
"246","02/04/2015","Lahj","17th Infantry Brigade","Military Site"
"247","02/04/2015","Lahj","Air Defence Military Site ","Military Site"
"248","03/04/2015","Lahj","Residential Area","Residential Area"
"249","03/04/2015","Sana'a","Hadeed Mountain Military Camp","Military Site"
"250","03/04/2015","Sana'a","Badr Military Camp","Military Site"
"251","03/04/2015","Sana'a","SSF Camp","Military Site"
"252","03/04/2015","Sana'a","Pro-Houthi forces","Forces"
"253","03/04/2015","Sana'a","Pro-Houthi forces","Forces"
"254","03/04/2015","Al Mahwit","-","Residential Area"
"255","03/04/2015","Al Mahwit","-","Residential Area"
"256","03/04/2015","Al Mahwit","-","Residential Area"
"257","04/04/2015","Lahj","Weapons Stores","Weapon Storage"
"258","04/04/2015","Lahj","Military Engineering Unit","Military Site"
"259","04/04/2015","Lahj","Military Maintenance Camp ","Military Site"
"260","04/04/2015","Lahj","Former 1st Armoured Division","Military Site"
"261","04/04/2015","Lahj","Military police camp","Military Site"
"262","04/04/2015","Lahj","House","HQ"
"263","04/04/2015","Lahj","Military Academy","Military Site"
"264","04/04/2015","Lahj","Sana'a International Airport","Transport"
"265","04/04/2015","Lahj","Al-Hafa Military Camp","Military Site"
"266","04/04/2015","Lahj","Missiles Brigade Camp","Military Site"
"267","04/04/2015","Lahj","Special Forces Camp","Military Site"
"268","04/04/2015","Lahj","Al-Sama'a Military Camp","Military Site"
"269","04/04/2015","Lahj","Al-Khorafi Military Camp","Military Site"
"270","04/04/2015","Lahj","National Security","Military Site"
"271","04/04/2015","Sana'a","Larib Military Camp","Military Site"
"272","04/04/2015","Sana'a","Hadeed Mountain Military Camp","Military Site"
"273","04/04/2015","Sana'a","Pro-Houthi forces","Forces"
"274","04/04/2015","Sana'a","Pro-Houthi forces","Forces"
"275","04/04/2015","Hajjah","Pro-Houthi forces","Forces"
"276","04/04/2015","Hajjah","Pro-Houthi forces","Forces"
"277","04/04/2015","Al Bayda","Al-Anad Airbase","Military Site"
"278","04/04/2015","Al Mahwit","Civilian's house","Military Site"
"279","04/04/2015","Al Mahwit","Pro-Houthi forces","Forces"
"280","04/04/2015","Al Mahwit","-","Residential Area"
"281","04/04/2015","Al Mahwit","101st Infantry Brigade","Military Site"
"282","04/04/2015","Al Mahwit","Near Al-Saifi Military Camp","Military Site"
"283","04/04/2015","Al Mahwit","-","Residential Area"
"284","05/04/2015","Lahj","Al-Hafa Military Camp","Military Site"
"285","05/04/2015","Lahj","Residential Area","Residential Area"
"286","05/04/2015","Sana'a","Commercial Compound","Private business"
"287","05/04/2015","Sa'ada","Anti-Houthi Groups","Forces"
"288","05/04/2015","Sa'ada","Al-Zoraiqa'a Valley","Unknown"
"289","05/04/2015","Sa'ada","-","Unknown"
"290","05/04/2015","Al Hudaydah","Fruit Farm","Farms"
"291","05/04/2015","Marib","5 Flour Trucks","Food (storage/transportation)"
"292","05/04/2015","Marib","Al-Salif Port","Transport"
"293","05/04/2015","Marib","Air Defence Military Sites","Military Site"
"294","05/04/2015","Al Bayda","Aqqan Bridge","Transport"
"295","05/04/2015","Al Bayda","Labozah Military Camp","Military Site"
"296","05/04/2015","Al Bayda","Al-Anad Airbase","Military Site"
"297","05/04/2015","Al Mahwit","Security HQ","Military Site"
"298","05/04/2015","Al Mahwit","SSF Camp","Military Site"
"299","05/04/2015","Al Mahwit","Pro-Houthi forces","Forces"
"300","05/04/2015","Al Mahwit","Pro-Houthi forces","Forces"
"301","05/04/2015","Al Mahwit","Two Houses","Residential Area"
"302","05/04/2015","Al Mahwit","Mosque","Mosque"
"303","05/04/2015","Al Mahwit","Mountains ","Unknown"
"304","05/04/2015","Al Mahwit","131st Infantry Brigade","Military Site"
"305","05/04/2015","Al Mahwit","Daghfal house","Residential Area"
"306","05/04/2015","Al Mahwit","-","Unknown"
"307","06/04/2015","Lahj","Al-Kaboos Tanks Factory","Private factory"
"308","06/04/2015","Lahj","Al-Nahdain Military Camp","Military Site"
"309","06/04/2015","Lahj","Former 1st Armoured Division","Military Site"
"310","06/04/2015","Lahj","Residential Area","Residential Area"
"311","06/04/2015","Lahj","Missiles Brigade Camp","Military Site"
"312","06/04/2015","Lahj","Fuel storage","Oil & Gas"
"313","06/04/2015","Lahj","Al-Rasheed Industiral compound","Private factory"
"314","06/04/2015","Lahj","Ibrahim Al-Marri Plastick pipes factory","Private factory"
"315","06/04/2015","Lahj","-","Residential Area"
"316","06/04/2015","Lahj","Special Forces Military Camp","Military Site"
"317","06/04/2015","Lahj","-","Unknown"
"318","06/04/2015","Sa'ada","Labozah Military Camp","Military Site"
"319","06/04/2015","Sa'ada","Governmental Compound","Gov. compounds"
"320","06/04/2015","Sa'ada","SSF Camp, Aboud Military Camp","Military Site"
"321","06/04/2015","Al Hudaydah","Pro-Houthi Sites","Military Site"
"322","06/04/2015","Al Bayda","Labozah Military Camp","Military Site"
"323","06/04/2015","Al Bayda","Al-Anad Airbase","Military Site"
"324","06/04/2015","Ibb","Pro-Houthi forces","Forces"
"325","06/04/2015","Al Mahwit","Civilian's house","Residential Area"
"326","06/04/2015","Al Mahwit","Houses","Residential Area"
"327","06/04/2015","Al Mahwit","Mountains","Unknown"
"328","06/04/2015","Al Mahwit","-","Residential Area"
"329","06/04/2015","Al Mahwit","Telecommunications Network","Communication"
"330","06/04/2015","Al Mahwit","Gas Station","Oil & Gas"
"331","06/04/2015","Al Mahwit","Pro-Houthi forces","Forces"
"332","06/04/2015","Al Mahwit","Pro-Houthi forces","Forces"
"333","07/04/2015","Lahj","Special Forces Military Camp","Military Site"
"334","07/04/2015","Lahj","Raymah Humaid Military Camp","Military Site"
"335","07/04/2015","Sana'a","Beer Ahmad Military Camp","Military Site"
"336","07/04/2015","Sana'a","Pro-Houthi forces","Forces"
"337","07/04/2015","Hajjah","117th Mechanized Infantry Brigade (Al-Majd Military Camp)","Military Site"
"338","07/04/2015","Sa'ada","Al-Sadrayn Military Camp","Military Site"
"339","07/04/2015","Al Hudaydah","Governmental Compound","Gov. compounds"
"340","07/04/2015","Al Hudaydah","School","School"
"341","07/04/2015","Amran","30th Armoured Brigade (Al-Hamzah Military Camp)","Military Site"
"342","07/04/2015","Amran","Al-Sabatain school","School"
"343","07/04/2015","Amran","30th Armoured Brigade (Al-Hamzah Military Camp)","Military Site"
"344","07/04/2015","Al Bayda","Aqqan Bridge","Transport"
"345","07/04/2015","Al Bayda","5th Missiles Brigade","Military Site"
"346","07/04/2015","Al Bayda","Near a Busness Man Yard","Private business"
"347","07/04/2015","Ibb","Pro-Houthi forces","Forces"
"348","07/04/2015","Al Mahwit","Telecommunication networks","Communication"
"349","07/04/2015","Al Mahwit","Al-Aqsa hospital","Hospital"
"350","07/04/2015","Lahj","35th Armoured Brigade (Khalid Bin Al-Waleed Military Camp)","Military Site"
"351","07/04/2015","Lahj","Air Defence Military Site (Missiles Battalion)","Military Site"
"352","07/04/2015","Lahj","Air Defence Military Camp","Military Site"
"353","08/04/2015","Lahj","Military Maintenance Camp ","Military Site"
"354","08/04/2015","Lahj","Rescue Police HQ","Military Site"
"355","08/04/2015","Lahj","Telecommunications Corporation","Communication"
"356","08/04/2015","Lahj","Ministry of Interior","Military Site"
"357","08/04/2015","Lahj","House","HQ"
"358","08/04/2015","Lahj","Shmasan building","Residential Area"
"359","08/04/2015","Lahj","Al-Dhafif Building","Residential Area"
"360","08/04/2015","Lahj","Pro-Houthi Military Site","Military Site"
"361","08/04/2015","Lahj","Al-Sama'a Military Camp","Military Site"
"362","08/04/2015","Sana'a","115th Infantry Brigade","Military Site"
"363","08/04/2015","Sana'a","Pro-Houthi forces","Military Site"
"364","08/04/2015","Sana'a","Al-Ma'asheeq Palace","Military Site"
"365","08/04/2015","Sana'a","Grain Silos","Food (storage/transportation)"
"366","08/04/2015","Sana'a","Pro-Houthi forces","Forces"
"367","08/04/2015","Hajjah","Military Sites","Military Site"
"368","08/04/2015","Hajjah","Pro-Houthi forces","Forces"
"369","08/04/2015","Sa'ada","Al-Jarba'a Military Camp","Military Site"
"370","08/04/2015","Al Bayda","Al-Anad Airbase","Military Site"
"371","08/04/2015","Al Bayda","Al-Anad Airbase","Military Site"
"372","08/04/2015","Al Mahwit","1st Artillery Brigade","Military Site"
"373","08/04/2015","Al Mahwit","Pro-Houthi forces","Forces"
"374","08/04/2015","Al Mahwit","Sa'ada Military HQ","Military Site"
"375","08/04/2015","Al Mahwit","Military Police","Military Site"
"376","08/04/2015","Hadramaut","Pro-Houthi forces","Forces"
"377","08/04/2015","Hadramaut","Shabwav Military HQ","Military Site"
"378","08/04/2015","Lahj","22nd Armoured Brigade","Military Site"
"379","09/04/2015","Lahj","Military Supplies Camp","Military Site"
"380","09/04/2015","Lahj","Presidential Palace","Military Site"
"381","09/04/2015","Lahj","Ministry of Defence","Military Site"
"382","09/04/2015","Lahj","Military Site","Military Site"
"383","09/04/2015","Lahj","Missiles Brigade Camp","Military Site"
"384","09/04/2015","Lahj","Al-Sama'a Military Camp","Military Site"
"385","09/04/2015","Lahj","Special Forces Military Camp","Military Site"
"386","09/04/2015","Lahj","Al-Sawad Military Camp","Military Site"
"387","09/04/2015","Lahj","Special Forces Military Camp","Military Site"
"388","09/04/2015","Sana'a","Pro-Houthi forces","Forces"
"389","09/04/2015","Sana'a","22 May Stadium","Sport Facility"
"390","09/04/2015","Sana'a","Pro-Houthi forces","Forces"
"391","09/04/2015","Sana'a","Local Council","Gov. compounds"
"392","09/04/2015","Al Dhale'e","Residential Area ","Residential Area"
"393","09/04/2015","Al Dhale'e","310th Armoured Brigade","Military Site"
"394","09/04/2015","Al Dhale'e","Military Police","Military Site"
"395","09/04/2015","Al Dhale'e","SSF Camp","Military Site"
"396","09/04/2015","Al Dhale'e","Weapons Stores","Weapon Storage"
"397","09/04/2015","Al Dhale'e","Security HQ","Military Site"
"398","09/04/2015","Al Dhale'e","Amran University","University"
"399","09/04/2015","Al Dhale'e","Park","Parks/Resorts"
"400","09/04/2015","Hajjah","26th Mechanized Infantry Brigade","Military Site"
"401","09/04/2015","Sa'ada","Residential Area","Residential Area"
"402","09/04/2015","Sa'ada","Residential Area","Residential Area"
"403","09/04/2015","Al Mahwit","Water Tank","Water & Electricity"
"404","09/04/2015","Al Mahwit","Sa'ada Military HQ","Military Site"
"405","09/04/2015","Al Mahwit","Pro-Houthi forces","Forces"
"406","09/04/2015","Al Mahwit","-","Forces"
"407","09/04/2015","Al Mahwit","-","Forces"
"408","09/04/2015","Al Bayda","5th Missiles Brigade","Military Site"
"409","09/04/2015","Hadramaut","19th Infantry Brigade","Military Site"
"410","09/04/2015","Hadramaut","Ataq Airport","Transport"
"411","09/04/2015","Hadramaut","21st Mechanized Infantry Brigade","Military Site"
"412","09/04/2015","Lahj","Hajdah Checkpoint","Checkpoints"
"413","10/04/2015","Lahj","Presidential Palace","Military Site"
"414","10/04/2015","Lahj","Former 1st Armoured Division","Military Site"
"415","10/04/2015","Lahj","Sana'a International Airport","Transport"
"416","10/04/2015","Lahj","Al-Daylami Airbase","Military Site"
"417","10/04/2015","Lahj","Al-Hafa Military Camp","Military Site"
"418","10/04/2015","Lahj","Al-Daylami Airbase","Military Site"
"419","10/04/2015","Lahj","Al-Sawad Military Camp","Military Site"
"420","10/04/2015","Lahj","Military Sites","Military Site"
"421","10/04/2015","Sana'a","15th Infantry Brigade","Military Site"
"422","10/04/2015","Sana'a","Grain Silos","Food (storage/transportation)"
"423","10/04/2015","Sana'a","Docks","Transport"
"424","10/04/2015","Sana'a","Hadeed Mountain Military Camp","Military Site"
"425","10/04/2015","Sana'a","Pro-Houthi forces","Forces"
"426","10/04/2015","Sana'a","Pro-Houthi Sites","Military Site"
"427","10/04/2015","Al Dhale'e","29th Mechanized Infantry Brigade (Giants Brigade)","Military Site"
"428","10/04/2015","Sa'ada","Pro-Houthi forces","Forces"
