2016/10/09, 330.18867924528604
2016/10/15, 566.0377358490514
2016/10/22, 1037.7358490566112
2016/10/29, 1037.7358490566112
2016/11/08, 1273.5849056603765
2016/11/14, 1273.5849056603765
2016/11/20, 1509.4339622641564
2016/11/27, 1745.283018867929
2016/12/04, 1981.1320754716944
2016/12/10, 2216.9811320754743
2016/12/18, 1981.1320754716944
2016/12/25, 1273.5849056603765
2016/12/31, 1509.4339622641564
2017/01/06, 1037.7358490566112
2017/01/15, 1273.5849056603765
2017/01/21, 1037.7358490566112
2017/01/29, 1037.7358490566112
2017/02/06, 1037.7358490566112
2017/02/13, 1037.7358490566112
2017/02/19, 1037.7358490566112
2017/02/26, 1037.7358490566112
2017/03/04, 1037.7358490566112
2017/03/12, 566.0377358490514
2017/03/19, 566.0377358490514
2017/03/26, 330.18867924528604
2017/04/01, 566.0377358490514
2017/04/08, 330.18867924528604
2017/04/16, 330.18867924528604
2017/04/22, 330.18867924528604
2017/04/30, 801.8867924528313
2017/05/07, 3750.0000000000073
2017/05/14, 12122.641509433968
2017/05/21, 22500
2017/05/28, 24150.943396226416
2017/06/04, 31462.264150943396
2017/07/02, 50566.03773584906
2017/06/25, 47500
2017/06/18, 44905.660377358494
2017/06/11, 38891.50943396226
2017/07/09, 47971.698113207545
2017/07/15, 43018.8679245283
2017/07/23, 42900.943396226416
2017/07/30, 41014.15094339623
2017/08/06, 38066.03773584906
2017/08/13, 36650.943396226416
2017/08/20, 37122.64150943396
2017/08/26, 38773.58490566038
2017/09/03, 35235.84905660377
2017/09/10, 40896.22641509434
2017/09/17, 38066.03773584905
2017/09/24, 36061.32075471698
2017/10/01, 33820.75471698113
2017/10/08, 31226.415094339623
2017/10/15, 28632.07547169811
2017/10/23, 23089.622641509435
2017/10/29, 21556.60377358491
2017/11/05, 20141.509433962266
2017/11/12, 18136.792452830196
2017/11/19, 16839.622641509435
2017/11/26, 16367.92452830189
2017/12/02, 14952.830188679247
2017/12/10, 10707.547169811325
2017/12/17, 11179.245283018863
2017/12/24, 11179.245283018863
2018/01/06, 8584.905660377357
2018/01/14, 5283.018867924526
2017/12/31, 10235.84905660378
